"TemplateId","Category","Subcategory","Type","ItemText","DefaultActive","PresentIn","Location","Sort","Photo","ActivePDIId","Related PDI_LineItems",
"UPDI-0150","Cosmetic","Window","Check","Windows have no visible cracks/blemishes/scratches.","Y","MDC,PAUSE","Exterior","20","","03a0d327","d579ce99 , ed7117c3 , be7b000a , 596ac40b , 6fddcea2 , a25ccac1 , 96f3855c , 9558f1eb , f94d0652",
"UPDI-0151","Structural","Window","Check","Window Latchs\Struts are  functional with no damage/blemishes.","Y","MDC,PAUSE","Interior","30","","03a0d327","52deea20 , 8abcefbc , f09fe901 , d39c5168 , a7486664 , d4df93bd , e75dfaa3 , 7bb872d7 , fb204f3a",
"UPDI-0152","OEM Accessory","Blue Box","Check","Tank drain caps (sometimes)","","MDC","Accessories","40","","03a0d327","",
"UPDI-0153","OEM Accessory","Blue Box","Check","2 wheel chalks","","MDC","Accessories","40","","03a0d327","",
"UPDI-0154","OEM Accessory","Blue Box","Check","D035 pin with wrench","","MDC","Accessories","40","","03a0d327","",
"UPDI-0155","OEM Accessory","Blue Box","Check","Wheel breaker bar with 21mm socket","","MDC","Accessories","40","","03a0d327","",
"UPDI-0156","OEM Accessory","Blue Box","Check","Aquago electric filter","","MDC","Accessories","40","","03a0d327","",
"UPDI-0157","OEM Accessory","Blue Box","Check","Microwave base (sometimes)","","MDC","Accessories","40","","03a0d327","",
"UPDI-0158","OEM Accessory","Blue Box","Check","Spare tire cover(s)","","MDC","Accessories","40","","03a0d327","",
"UPDI-0159","OEM Accessory","Blue Box","Check","Hitch lock","","MDC","Accessories","40","","03a0d327","",
"UPDI-0160","OEM Accessory","Blue Box","Check","Back up camera screen mount & cord","","MDC","Accessories","40","","03a0d327","",
"UPDI-0161","OEM Accessory","Blue Box","Check","Rust spray Wheel bearing kit (dust cap, 2 plastic bearing covers, 2 castle nuts, 2 lug nuts, 2 lug studs, 2 pins)","","MDC","Accessories","40","","03a0d327","",
"UPDI-0162","OEM Accessory","Blue Box","Check","Leather literature booklet (Pole diagram inside)","","MDC","Accessories","40","","03a0d327","",
"UPDI-0163","OEM Accessory","Blue Box","Check","4 awning stakes","","MDC","Accessories","40","","03a0d327","",
"UPDI-0164","OEM Accessory","Blue Box","Check","4 straps Awnings hangers & green canvas tool","","MDC","Accessories","40","","03a0d327","",
"UPDI-0165","OEM Accessory","Blue Box","Check","Entry floor mat","","MDC","Accessories","40","","03a0d327","",
"UPDI-0166","OEM Accessory","Blue Box","Check","Radio remote","","MDC","Accessories","40","","03a0d327","",
"UPDI-0167","OEM Accessory","Blue Box","Check","Awning crank handle mounts","","MDC","Accessories","40","","03a0d327","",
"UPDI-0168","OEM Accessory","Blue Box","Check","Tv remote bag (extra wires)","","MDC","Accessories","40","","03a0d327","",
"UPDI-0169","Home","Appliance","Check","TV Present no damage\blemishes and fully functional","","MDC","Interior","40","","03a0d327","",
"UPDI-0170","Exterior","Charging","Check","Portable Solar panels as applicable are present no damage\blemish. Tested and functional","","PAUSE","Accessories","40","","03a0d327","",
"UPDI-0171","Home","Bunk Bed","Check","Bunk bed ladder present. Bunk bed mattresses have no damage\blemish","","MDC","Interior","40","","03a0d327","",
"UPDI-0173","Home","Cosmetic","Check","All cushions present without damage\blemish. Velcro installed.","Y","MDC,PAUSE","Interior","40","","03a0d327","8dbeba68 , db6ae2ba , 345cecf0 , ab3b2bc6 , 5a9a9e21 , 6e92de93 , f89aeefb",
"UPDI-0174","Chasis","Brakes","Check","Check brake functionality and parking brake if present.","Y","MDC,PAUSE","Exterior","40","","03a0d327","c940f643 , 892cfa2d , 76f7edec , 870c35ff , de5372e2 , e6107994 , 1277d485",
